,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
49,Skyreach Manta,Fifth Dawn,0.1,0.296296625518061,0.3,0.3,0.3,0.3,0.100237860540865,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.105855458157281,0.1,0.1,0.1,0.200900909017198,0.252405694904071,0.2,0.19057092856485,0.895795457616735,0.568043484984381,0.143030782377861,0.23531708710818
50,Panic Attack,Prophecy,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.213005022765324,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.264264092469301,0.196220579593604,0.285294809702151,0.180920801589495,0.2,0.25240517943484,0.3,0.3
51,Ideas Unbound,Saviors of Kamigawa,0.644816883923029,0.59722274691941,0.489371585095436,0.479719032759431,0.5,0.5,0.376191088444121,0.432001093347911,0.495707164448216,0.649798190339643,0.8,0.423430774359049,0.394350375850643,0.4,0.393543185073739,0.5,0.550300002702727,0.6,0.553846190828758,0.607486340381745,0.592793178316922,0.403779935875628,0.460128629973137,0.39824602955302,0.498648636474202,0.5,0.5,0.3
52,Viridian Scout,Fifth Dawn,0.1,0.174814720163557,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.159420426382991,0.1,0.1,0.1,0.182675429939868,0.2,0.2,0.2,0.2,0.276876818710078,0.308419158960402,0.3,0.168860116580481,0.1,0.15910627944618,0.2,0.26765854355409
53,Wild Cantor,Guildpact,0.125863852679495,0.1,0.290821606110233,0.209236858275401,0.2,0.2,0.2,0.2,0.294065864135334,0.2,0.2,0.2,0.116242934262155,0.1,0.1,0.203947420360794,0.316966369066388,0.5,0.372916566505447,0.4,0.291441814791124,0.2,0.2,0.336403768470638,0.383933639041793,0.509962473839936,0.875760468372152,0.2
54,Toxic Stench,Judgment,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.194444276093001,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.302702276597086,0.229380715265106,0.301960822761231,0.340348557217858,0.140840908476653,0.1,0.163332969690358,0.26765854355409
55,Thermopod,Coldsnap,0.1,0.645556061734019,0.546863722662647,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.276876818710078,0.396735533356014,0.4,0.196052579639206,0.273724087604393,0.15910627944618,0.2,0.3
56,Auriok Glaivemaster,Darksteel,0.1,0.1,0.285024420643777,0.251003626549717,0.182203662742905,0.201111123456927,0.113809482992614,0.1,0.202651535238903,0.168876131037723,0.151754628350373,0.224153973245989,0.125847252942822,0.1,0.189940449913963,0.1,0.1,0.1,0.204486581601746,0.21521833649763,0.208108181154785,0.174399220610522,0.204902056903077,0.101534888616955,0.1,0.1,0.1,0.23531708710818
57,Claws of Valakut,Worldwake,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.231526283449198,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.107894182818195,0.194070616063616,0.2,0.2,0.297766471819297,0.3,0.197368386426137,0.230180452076145,0.158590810214538,0.250605465553919,0.3
58,Plow Through Reito,Saviors of Kamigawa,0.2,0.2,0.103139900578269,0.1,0.1,0.1,0.1,0.202666702222696,0.121717209978863,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.205855908611789,0.221993010237219,0.2,0.2,1.169067739349,1.00911194960773,0.2,0.3
59,Zombie Boa,Apocalypse,0.1,0.16759241769353,0.2,0.2,0.2,0.2,0.2,0.2,0.192929113099342,0.2,0.2,0.157971130016377,0.1,0.1,0.18138136379607,0.2,0.2,0.2,0.2,0.2,0.276876818710078,0.3,0.3,0.197368386426137,0.2,0.25910627944618,0.3,0.3
60,Skinthinner,Legions,0.268963376784606,0.245185502061134,0.412318294468036,0.6,0.6,0.6,0.100237860540865,0.1,0.139646133682831,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.204504545085992,0.212026412643429,0.319280770211181,0.169296964433743,0.1,0.21821255889236,0.3,0.3
61,Morgue Toad,Planeshift,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.155797185466456,0.1,0.1,0.1,0.1,0.1,0.1,0.152243290800873,0.2,0.239489094496347,0.202061361457335,0.23268005255005,0.163377807602732,0.1,0.1,0.1,0.23531708710818
62,Shield Mate,Exodus,0.1,0.1,0.1,0.193775226207545,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.253069777233911,0.192792727862413,0.2,0.2,0.2,0.275075000675682,0.391065371807957,0.4,0.239035382044501,0.120420454238326,0.1,0.206363752068219,0.2
